# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
wei fan 	違反	c=1 d=1 t=8239
wei guan 	微觀	c=2 d=1.12762e-36 t=53366
wei gun 	爲滾	c=1 d=1 t=1363
wei hai 	危害	c=2 d=0.00657159 t=53366
wei he 	爲何	c=1 d=1 t=42781
wei he 	違和	c=0 d=0.1 t=45910
wei he gan 	違和感	c=1 d=1 t=45911
wei hu 	維護	c=6 d=0.585845 t=53366
wei ji 	危機	c=1 d=1 t=50553
wei ji bai ke 	維基百科	c=1 d=1 t=1812
wei jin 	圍巾	c=1 d=1 t=45055
wei lai 	未來	c=9 d=0.179964 t=53366
wei le 	爲了	c=33 d=0.349609 t=53366
wei li 	爲例	c=2 d=0.261414 t=53366
wei long 	衛龍	c=1 d=1.49742e-44 t=53366
wei miao 	微秒	c=1 d=9.0527e-36 t=53366
wei mo jie 	維摩詰	c=1 d=0.000792752 t=53366
wei nai 	餵奶	c=1 d=1 t=23780
wei neng 	未能	c=1 d=1 t=25265
wei nu 	爲奴	c=1 d=0.000788798 t=53366
wei qi 	圍棋	c=8 d=1.00219 t=53366
wei qi 	爲期	c=1 d=1 t=35935
wei qu 	委屈	c=3 d=0.100228 t=53366
wei rao 	圍繞	c=4 d=0.100717 t=26528
wei rao de 	圍繞的	c=1 d=1 t=26529
wei ren shi biao 	爲人師表	c=1 d=1 t=42704
wei ruan 	微軟	c=4 d=8.46857e-16 t=53366
wei sha 	爲啥	c=4 d=0.00726273 t=53366
wei she zhi 	爲設置	c=1 d=8.43063e-22 t=53366
wei shen me 	爲什麼	c=16 d=1.0068 t=53366
wei sheng 	衛生	c=1 d=2.24937e-37 t=53366
wei sheng jian 	衛生間	c=1 d=2.23974e-16 t=53366
wei sheng su 	維生素	c=2 d=1.31765e-10 t=53366
wei shu 	位數	c=1 d=0.0112769 t=53366
wei tian 	尾田	c=3 d=3.44775e-32 t=53366
wei tuo 	委託	c=4 d=4.61803e-29 t=53366
wei wan 	未完	c=2 d=0.20089 t=53366
wei wan cheng 	未完成	c=4 d=0.16123 t=53366
wei wei 	微微	c=4 d=0.865022 t=53366
wei wei zhuang guan 	蔚爲壯觀	c=1 d=9.25003e-25 t=53366
wei wo 	爲我	c=1 d=0.367879 t=53366
wei xian 	危險	c=1 d=1 t=41413
wei xie 	威脅	c=2 d=0.0415857 t=53366
wei xin 	微信	c=20 d=1.87989 t=53366
wei xing 	衛星	c=2 d=1.40056e-22 t=53366
wei xiu 	維修	c=7 d=1.23341 t=53366
wei yi 	唯一	c=6 d=0.0269721 t=53366
wei yu 	位於	c=2 d=9.09392e-06 t=53366
wei yuan 	委員	c=1 d=0.0224829 t=53366
wei yuan hui 	委員會	c=1 d=0.778801 t=53366
wei zao 	僞造	c=0 d=0.1 t=3315
wei zhang 	違章	c=1 d=1 t=11598
wei zhao dao 	未找到	c=1 d=1 t=43004
wei zhe 	爲者	c=1 d=0.0243554 t=53366
wei zhi 	位置	c=9 d=0.572825 t=53366
wei zhi 	未知	c=3 d=0.11475 t=53366
wei zhi 	爲之	c=1 d=1.9224e-42 t=53366
wei zhi 	爲止	c=2 d=2.02027e-38 t=53366
wei zhu 	尾註	c=1 d=0.408608 t=53366
wei zhu 	爲主	c=1 d=0.0837432 t=53366
wen 	吻	c=5 d=6.08379e-31 t=53366
wen 	問	c=20 d=1.4457 t=53366
wen 	文	c=9 d=0.0374406 t=53366
wen 	溫	c=1 d=8.23255e-07 t=53366
wen 	穩	c=1 d=1 t=39059
wen 	聞	c=2 d=1.54024e-10 t=53366
wen ben 	文本	c=7 d=0.0012403 t=53366
wen chuan 	汶川	c=2 d=1.99501 t=13938
wen dang 	文檔	c=13 d=0.599937 t=53366
wen de 	問得	c=1 d=1.1386e-27 t=53366
wen ding 	穩定	c=5 d=0.000841773 t=53366
wen ding xing 	穩定性	c=1 d=1 t=49652
wen du 	溫度	c=1 d=4.47226e-34 t=53366
wen gao 	文稿	c=1 d=3.5997e-10 t=53366
wen ge hua 	溫哥華	c=2 d=0.0104182 t=53366
wen guan 	文官	c=1 d=8.05666e-47 t=53366
wen guo 	問過	c=1 d=1 t=45979
wen hao 	問號	c=1 d=1 t=43347
wen he 	吻合	c=1 d=0.000283018 t=53366
wen he 	溫和	c=1 d=0.000281606 t=53366
wen hou 	問候	c=1 d=0.000455097 t=53366
wen hua 	文化	c=3 d=0.00808895 t=53366
wen jian 	文件	c=28 d=3.80278 t=53366
wen jian 	穩健	c=4 d=1 t=30856
wen jian jia 	文件夾	c=3 d=0.752014 t=53366
wen juan 	問卷	c=2 d=0.000133688 t=53366
wen lan 	文瀾	c=2 d=0.0301194 t=53366
wen lan zai xian 	文瀾在線	c=1 d=0.302704 t=53366
wen ming shi 	文明史	c=1 d=0.000476044 t=53366
wen ni 	問你	c=2 d=0.507108 t=53366
wen rou 	溫柔	c=1 d=0.0086517 t=53366
wen shen 	紋身	c=1 d=1 t=38527
wen shun 	溫順	c=1 d=1.73196e-50 t=53366
wen teng 	問疼	c=1 d=1 t=13164
wen teng chu 	問騰出	c=3 d=1 t=49893
wen ti 	問題	c=309 d=4.80644 t=53366
wen wen 	問問	c=6 d=0.647265 t=53366
wen wo 	問我	c=3 d=1 t=42836
wen xian 	文獻	c=31 d=1.7702 t=53366
wen xian chuan di 	文獻傳遞	c=1 d=0.304221 t=53366
wen xue 	文學	c=1 d=2.29918e-30 t=53366
wen yi 	文藝	c=1 d=4.87167e-11 t=53366
wen yi ge 	問一個	c=1 d=1 t=30190
wen yi wen 	問一問	c=2 d=4.07401e-47 t=53366
wen yi xia 	問一下	c=3 d=5.84469e-20 t=53366
wen zhang 	文章	c=16 d=1.29121 t=53366
wen zhong 	文中	c=14 d=1.43036e-05 t=53366
wen zhou 	溫州	c=1 d=2.46681e-05 t=53366
wen zi 	文字	c=4 d=0.00846869 t=53366
wo 	我	c=540 d=5.42281 t=53366
wo 	沃	c=1 d=1 t=43356
wo 	涴	c=1 d=1 t=53366
wo 	窩	c=2 d=5.65796e-36 t=53366
wo ai 	我愛	c=1 d=7.14097e-10 t=53366
wo ba 	我把	c=1 d=5.79015e-43 t=53366
wo bu neng 	我不能	c=1 d=1 t=38784
wo bu shi 	我不是	c=2 d=2.4192e-11 t=53366
wo da gai 	我大概	c=1 d=0.404542 t=53366
wo de 	我的	c=9 d=0.694197 t=53366
wo dui 	我對	c=1 d=0.151829 t=53366
wo fang fu 	我彷彿	c=1 d=4.17061e-36 t=53366
wo gang gang 	我剛剛	c=1 d=1.85988e-06 t=53366
wo ge 	我哥	c=1 d=3.09661e-33 t=53366
wo ge ren 	我個人	c=1 d=1 t=12978
wo guo 	我國	c=16 d=0.0999305 t=53366
wo hai 	我還	c=1 d=2.01061e-11 t=53366
wo hai yi wei 	我還以爲	c=1 d=1 t=2220
wo ji de 	我記得	c=1 d=0.522046 t=53366
wo jia 	我家	c=1 d=7.11868e-32 t=53366
wo jian yi 	我建議	c=1 d=1 t=35016
wo jin tian 	我今天	c=1 d=2.55372e-30 t=53366
wo jiu 	我就	c=1 d=2.32394e-09 t=53366
wo ju 	萵苣	c=1 d=1 t=53366
wo jue de 	我覺得	c=2 d=0.0137736 t=53366
wo kan 	我看	c=1 d=1 t=30736
wo kan dao 	我看到	c=1 d=1 t=45159
wo kan lai 	我看來	c=1 d=9.86758e-50 t=53366
wo kan zhong 	我看中	c=1 d=0.0267827 t=53366
wo ke yi 	我可以	c=1 d=1.47157e-45 t=53366
wo ma 	我媽	c=1 d=0.0518189 t=53366
wo men 	我們	c=74 d=6.36125 t=53366
wo men qu 	我們去	c=1 d=1 t=45387
wo meng 	我萌	c=1 d=1 t=50324
wo ne 	我呢	c=1 d=0.000174253 t=53366
wo neng 	我能	c=1 d=1.25599e-05 t=53366
wo qu 	我去	c=1 d=0.00256704 t=53366
wo ren wei 	我認爲	c=1 d=6.48147e-17 t=53366
wo shi 	我是	c=7 d=0.818731 t=53366
wo shi 	臥室	c=1 d=0.216536 t=53366
wo shi bu shi 	我是不是	c=1 d=1 t=31526
wo shuo 	我說	c=2 d=0.00101529 t=53366
wo suan le suan 	我算了算	c=1 d=3.34653e-05 t=53366
wo suo neng 	我所能	c=1 d=0.0395575 t=53366
wo wei 	我爲	c=2 d=1.99005 t=27585
wo xi huan 	我喜歡	c=1 d=0.18452 t=53366
wo xi wang 	我希望	c=1 d=1 t=23422
wo xiang 	我向	c=0 d=2.78985e-42 t=53366
wo xiang 	我想	c=5 d=0.746737 t=53366
wo xiang ni 	我向你	c=1 d=2.80384e-41 t=53366
wo xiang shuo 	我想說	c=1 d=1 t=53366
wo xiang xin 	我相信	c=1 d=1.41613e-05 t=53366
wo xiang zhi dao 	我想知道	c=1 d=1 t=53366
wo xie 	我寫	c=1 d=1 t=52740
wo xie zuo 	我寫作	c=1 d=6.49381e-10 t=53366
wo yao 	我要	c=3 d=0.50409 t=53366
wo ye 	我也	c=2 d=0.000435072 t=53366
wo ye shi 	我也是	c=1 d=1.29486e-40 t=53366
wo yi jing 	我已經	c=4 d=1.00062 t=53366
wo yi wei 	我以爲	c=1 d=1 t=46
wo yi yang 	我一樣	c=1 d=2.11837e-37 t=53366
wo you 	我有	c=1 d=3.19319e-12 t=53366
wo zai 	我在	c=2 d=1 t=45276
wo zhe bian 	我這邊	c=2 d=2.91687e-06 t=53366
wo zhe li 	我這裏	c=1 d=0.00878245 t=53366
wo zhi 	我只	c=0 d=2.44351e-12 t=53366
wo zhi dao 	我知道	c=2 d=1 t=53366
wo zhi neng 	我只能	c=1 d=4.05231e-21 t=53366
wo zhi shi yao 	我只是要	c=1 d=2.45576e-11 t=53366
wu 	五	c=1 d=1 t=53366
wu 	伍	c=11 d=8.37976 t=48084
wu 	務	c=1 d=3.91426e-25 t=53366
wu 	午	c=0 d=1.22962e-21 t=53366
wu 	吳	c=14 d=0.00120921 t=53366
wu 	吾	c=2 d=2.10458e-19 t=53366
wu 	屋	c=2 d=1.98511 t=41785
wu 	武	c=2 d=1.81873 t=53366
wu 	污	c=2 d=1.60189e-06 t=53366
wu 	烏	c=1 d=1 t=53366
wu 	無	c=25 d=1.15935 t=53366
wu 	物	c=3 d=0.0765355 t=53366
wu 	誤	c=1 d=7.16557e-21 t=53366
wu 	鄔	c=3 d=1.83828 t=41371
wu 	霧	c=1 d=7.91488e-44 t=53366
wu an 	武安	c=0 d=0.00153752 t=53366
wu an guo 	武安國	c=2 d=0.0343257 t=53366
wu can 	午餐	c=6 d=8.15896e-19 t=53366
wu cha yi 	無差異	c=1 d=2.16117e-37 t=53366
wu chao suo zhi 	物超所值	c=1 d=0.171187 t=53366
wu chu 	無處	c=1 d=0.000109455 t=53366
wu di 	無敵	c=1 d=1.6124e-32 t=53366
wu ding 	屋頂	c=1 d=3.70858e-37 t=53366
wu dong yu zhong 	無動於衷	c=1 d=1.15423e-11 t=53366
wu fa 	無法	c=36 d=1.80025 t=53366
wu fa shou qu 	無法收取	c=1 d=0.904837 t=53366
wu fan 	午飯	c=2 d=2.28369e-06 t=53366
wu fang 	無妨	c=1 d=0.04573 t=53366
wu feng 	無縫	c=1 d=3.50832e-31 t=53366
wu fu 	五福	c=1 d=1 t=21134
wu ge 	五個	c=1 d=1.71922e-22 t=53366
wu gen ju 	無根據	c=1 d=0.0284388 t=53366
wu guan 	無關	c=1 d=1.14353e-19 t=53366
wu gui 	烏龜	c=1 d=1.43304e-27 t=53366
wu guo 	誤國	c=1 d=1 t=53366
wu han 	武漢	c=1 d=1.43426e-37 t=53366
wu hen 	無痕	c=1 d=1 t=41792
wu hou 	午後	c=1 d=1.47462e-40 t=53366
wu hui 	舞會	c=2 d=4.30616e-07 t=53366
wu jiao 	五角	c=2 d=0.149338 t=53366
wu jiao 	午覺	c=1 d=1 t=42720
wu jiao chang 	五角場	c=2 d=0.131756 t=53366
wu jiao xing 	五角星	c=2 d=0.00177001 t=53366
wu jie 	誤解	c=1 d=1 t=22815
wu kang 	武康	c=3 d=2.70004 t=53366
wu ke 	吳克	c=2 d=0.805059 t=53366
wu ke 	無可	c=1 d=0.546074 t=53366
wu ke feng gao 	無可奉告	c=1 d=1.50882e-45 t=53366
wu ke li li 	烏克麗麗	c=3 d=0.194357 t=53366
wu kong 	無孔	c=1 d=8.87798e-42 t=53366
wu lai 	無賴	c=1 d=1 t=32081
wu li 	無力	c=1 d=4.80895e-35 t=53366
wu li 	無理	c=1 d=0.186861 t=53366
wu li 	物理	c=8 d=1.40966 t=53366
wu li you 	無理由	c=1 d=0.000483239 t=53366
wu li zhi ren 	無理之人	c=1 d=0.174645 t=53366
wu li zhi ren 	物理之人	c=1 d=0.168638 t=53366
wu lian wang 	物聯網	c=1 d=2.38813e-06 t=53366
wu liao 	無聊	c=1 d=2.7051e-31 t=53366
wu liao 	物料	c=1 d=1 t=53366
wu lin 	武林	c=2 d=1 t=53366
wu liu 	物流	c=24 d=0.506617 t=53366
wu long 	烏龍	c=1 d=6.59196e-10 t=53366
wu lun 	無論	c=4 d=0.0284645 t=53366
wu ming 	無名	c=2 d=0.20089 t=53366
wu nian 	五年	c=1 d=0.209088 t=53366
wu qi 	武器	c=1 d=2.47867e-32 t=53366
wu qian 	五千	c=1 d=4.68957e-05 t=53366
wu qian nian 	五千年	c=1 d=0.000471307 t=53366
wu qing yuan 	吳清源	c=1 d=6.36848e-16 t=53366
wu ran 	污染	c=2 d=0.00821546 t=53366
wu ren 	無人	c=1 d=0.000345679 t=53366
wu ru 	誤入	c=1 d=4.93169e-08 t=53366
wu se qi 	五色旗	c=1 d=0.000665481 t=53366
wu shan 	吳山	c=1 d=0.000713734 t=53366
wu shan 	誤刪	c=1 d=1.99847e-28 t=53366
wu shi 	巫師	c=1 d=1 t=4841
wu shui 	午睡	c=1 d=1 t=43085
wu suo 	無所	c=1 d=1.98512e-08 t=53366
wu suo shi cong 	無所適從	c=1 d=1.99507e-08 t=53366
wu suo wei 	無所謂	c=1 d=1 t=32334
wu tai shan 	五臺山	c=1 d=5.48981e-34 t=53366
wu wu 	無誤	c=1 d=1 t=20273
wu xian 	無線	c=4 d=2.04344 t=47263
wu xian 	無限	c=5 d=0.658337 t=53366
wu xian dian 	無線電	c=1 d=1.81328e-31 t=53366
wu xian lu you qi 	無線路由器	c=1 d=1 t=35031
wu xian zhi bo 	無限直撥	c=2 d=0.620928 t=53366
wu xian zhi bo 	無限直播	c=1 d=0.283654 t=53366
wu xiao 	無效	c=2 d=3.07007e-20 t=53366
wu xie ke ji 	無懈可擊	c=1 d=1.0823e-48 t=53366
wu xin 	無心	c=1 d=4.99313e-36 t=53366
wu xing 	五星	c=1 d=8.23255e-07 t=53366
wu xing ji 	五星級	c=1 d=3.97274e-23 t=53366
wu xu 	無需	c=3 d=1.59695e-08 t=53366
wu xu dan xin 	無需擔心	c=1 d=1.60496e-07 t=53366
wu xu qiu 	無需求	c=1 d=1 t=39574
wu ya zi 	無崖子	c=1 d=0.188247 t=53366
wu ye 	午夜	c=1 d=5.86648e-50 t=53366
wu yi 	無異	c=1 d=1 t=50959
wu yi zhong 	無意中	c=1 d=1 t=48541
wu yong 	無用	c=3 d=2.89229 t=53366
wu you suo zhi 	物有所值	c=1 d=3.11319e-37 t=53366
wu yuan 	無緣	c=2 d=8.4441e-33 t=53366
wu yue 	五月	c=1 d=1.11067e-29 t=53366
wu yue tian 	五月天	c=5 d=3.04032e-32 t=53366
wu yun 	烏雲	c=1 d=9.16423e-33 t=53366
wu zhi jing 	無止境	c=1 d=6.42681e-35 t=53366
wu zhuang 	武裝	c=1 d=4.26515e-35 t=53366
xi 	媳	c=1 d=0.0372538 t=53366
xi 	息	c=1 d=0.000378233 t=53366
xi 	戲	c=1 d=1.13311e-29 t=53366
xi 	洗	c=4 d=1 t=53366
xi 	溪	c=1 d=1 t=45411
xi 	系	c=3 d=1 t=48592
xi 	細	c=2 d=7.34821e-23 t=53366
xi 	習	c=3 d=0.50274 t=53366
xi 	西	c=5 d=0.129953 t=53366
xi an 	西安	c=4 d=1.65891e-06 t=53366
xi ban ya 	西班牙	c=1 d=1.20404e-08 t=53366
xi bao 	細胞	c=1 d=1 t=34834
xi bu 	西部	c=21 d=2.28577e-06 t=53366
xi bu shi jie 	西部世界	c=7 d=2.23304e-11 t=53366
xi fa lu 	洗髮露	c=1 d=3.44834e-34 t=53366
xi fa shui 	洗髮水	c=1 d=3.82946e-32 t=53366
xi fang 	西方	c=1 d=1.89287e-07 t=53366
xi fen 	細分	c=2 d=1.99005 t=50394
xi gai 	膝蓋	c=5 d=0.319923 t=53366
xi gu 	硒鼓	c=16 d=0.538171 t=53366
xi gua 	西瓜	c=4 d=0.271729 t=43208
xi gua shuang 	西瓜霜	c=1 d=1 t=43209
xi guan 	習慣	c=3 d=2.39513e-11 t=53366
xi guan hao 	習慣好	c=1 d=3.5582e-50 t=53366
xi guo 	洗過	c=1 d=0.207008 t=53366
xi hao 	喜好	c=1 d=3.26658e-44 t=53366
xi hong shi 	西紅柿	c=1 d=1 t=37312
xi hu 	西湖	c=4 d=0.117655 t=53366
xi hu qu 	西湖區	c=3 d=0.00217658 t=53366
xi hu wen hua 	西湖文化	c=1 d=1.0388e-36 t=53366
xi hua 	細化	c=2 d=0.00235786 t=53366
xi huan 	喜歡	c=12 d=0.109211 t=53366
xi huan ni 	喜歡你	c=1 d=1 t=19114
xi jie 	細節	c=5 d=0.0139819 t=53366
xi jin ping 	習近平	c=1 d=0.164474 t=53366
xi jin qu 	吸進去	c=1 d=0.000164928 t=53366
xi la 	希臘	c=4 d=1.18169 t=19373
xi li du 	細粒度	c=1 d=1 t=2902
xi lie 	系列	c=2 d=6.77866e-37 t=53366
xi lu 	西路	c=1 d=1 t=31419
xi mian 	洗面	c=1 d=0.00337959 t=53366
xi mian nai 	洗面奶	c=3 d=0.136014 t=53366
xi nan 	西南	c=1 d=0.000471307 t=53366
xi ni 	悉尼	c=1 d=2.89473e-34 t=53366
xi qian 	洗錢	c=1 d=0.416862 t=53366
xi qu 	吸取	c=1 d=1 t=36889
xi que 	稀缺	c=3 d=0.0154243 t=53366
xi ri 	昔日	c=1 d=1 t=18213
xi shou 	洗手	c=2 d=0.462162 t=53366
xi shou jian 	洗手間	c=1 d=2.34116e-37 t=53366
xi shu 	係數	c=6 d=0.00755912 t=53366
xi shu 	稀疏	c=1 d=0.00937227 t=53366
xi shui 	戲水	c=1 d=3.4059e-06 t=53366
xi song 	稀鬆	c=1 d=0.343009 t=53366
xi tang 	西塘	c=2 d=1.51327e-05 t=53366
xi tong 	系統	c=149 d=4.68921 t=53366
xi tong can yu zhe 	系統參與者	c=1 d=1 t=3551
xi wang 	希望	c=18 d=0.466572 t=53366
xi wei 	細微	c=1 d=2.95331e-05 t=53366
xi wen le jian 	喜聞樂見	c=3 d=8.15954e-23 t=53366
xi xi 	西溪	c=1 d=0.255381 t=53366
xi xi 	西西	c=1 d=2.22093e-05 t=53366
xi xia 	西夏	c=1 d=1.51458e-31 t=53366
xi yin 	吸引	c=4 d=1.00001 t=44479
xi you 	西遊	c=1 d=2.96862e-07 t=53366
xi yu zhong xin 	洗浴中心	c=1 d=0.212248 t=53366
xi yue 	喜悅	c=1 d=1.31059e-35 t=53366
xi zang 	西藏	c=2 d=0.000617396 t=53366
xi zao 	洗澡	c=3 d=0.000145287 t=53366
xia 	下	c=68 d=1.38449 t=53366
xia 	俠	c=3 d=1.98511 t=24008
xia 	夏	c=3 d=0.0992613 t=53366
xia 	瞎	c=3 d=3.86465e-22 t=53366
xia 	蝦	c=4 d=1.04117 t=37980
xia biao 	下標	c=1 d=0.0352602 t=53366
xia bu yan yu 	瑕不掩瑜	c=1 d=1.04817e-24 t=53366
xia ceng 	下層	c=1 d=4.10796e-05 t=53366
xia che 	下車	c=2 d=1 t=45319
xia ci 	下次	c=2 d=0.0228227 t=53366
xia da 	下達	c=1 d=2.18705e-30 t=53366
xia dan 	下單	c=2 d=1 t=27300
xia de 	嚇得	c=1 d=1 t=51700
xia ding 	下定	c=1 d=6.99698e-35 t=53366
xia fang 	下方	c=1 d=3.4674e-40 t=53366
xia gang 	下崗	c=1 d=4.52904e-06 t=53366
xia ge 	下個	c=1 d=1 t=52334
xia ge yue 	下個月	c=3 d=0.442594 t=53366
xia guan 	下關	c=1 d=1 t=30509
xia hua 	下滑	c=3 d=2.84416 t=50667
xia hua xian 	下劃線	c=2 d=1 t=49353
xia hui 	下回	c=2 d=0.0133665 t=53366
xia ji 	夏季	c=1 d=2.58202e-42 t=53366
xia jia 	下架	c=3 d=1.80938 t=31190
xia jiang 	下降	c=2 d=1 t=38081
xia ke 	下課	c=1 d=3.43125e-05 t=53366
xia lai 	下來	c=5 d=0.0384801 t=53366
xia le 	下了	c=0 d=0.00135009 t=53366
xia le dian 	下了點	c=1 d=0.0135686 t=53366
xia lou 	下樓	c=4 d=1 t=30102
xia men 	廈門	c=1 d=0.000581442 t=53366
xia mian 	下面	c=7 d=0.215456 t=53366
xia qu 	下去	c=4 d=9.12037e-06 t=53366
xia ren 	嚇人	c=1 d=9.60758e-30 t=53366
xia ri 	夏日	c=1 d=1.1374e-44 t=53366
xia shu 	下屬	c=1 d=1 t=40016
xia shui dao 	下水道	c=2 d=1.0001 t=23771
xia si 	嚇死	c=1 d=1 t=32318
xia ta 	下榻	c=1 d=0.771052 t=53366
xia tian 	夏天	c=6 d=4.3958e-37 t=53366
xia wu 	下午	c=13 d=0.0217647 t=53366
xia wu shi 	下午是	c=1 d=1 t=7000
xia xia zhou 	下下週	c=1 d=1 t=14117
xia xian 	下線	c=1 d=1 t=37144
xia xing 	下行	c=1 d=1.2719e-06 t=53366
xia xun 	下旬	c=1 d=1.29446e-07 t=53366
xia yi 	下一	c=1 d=4.11495e-25 t=53366
xia yi 	狹義	c=1 d=1 t=3280
xia yi bu 	下一步	c=1 d=9.61117e-05 t=53366
xia yi ge 	下一個	c=2 d=1.22836e-08 t=53366
xia yi hang 	下一行	c=1 d=0.142274 t=53366
xia yi lun 	下一輪	c=1 d=1 t=29022
xia yi qi 	下一期	c=1 d=8.52987e-42 t=53366
xia yi tiao 	下一跳	c=1 d=1 t=35051
xia you 	下游	c=1 d=1 t=50654
xia yu 	下雨	c=1 d=0.0155297 t=53366
xia zai 	下載	c=20 d=1.5027 t=53366
xia zai liang 	下載量	c=1 d=1.55805e-11 t=53366
xia zhai 	狹窄	c=1 d=0.024972 t=53366
xia zhou 	下週	c=5 d=1 t=36631
xia zhou mo 	下週末	c=1 d=1 t=19072
xia zhuan 	瞎轉	c=1 d=2.74505e-27 t=53366
xia zou 	嚇走	c=1 d=1 t=20148
xian 	仙	c=1 d=1.12027e-42 t=53366
xian 	先	c=36 d=0.755784 t=53366
xian 	弦	c=4 d=0.0374514 t=53366
xian 	現	c=5 d=2.2962e-07 t=53366
xian 	線	c=14 d=0.926638 t=53366
xian 	縣	c=1 d=0.301194 t=53366
xian 	閒	c=1 d=1.04439e-11 t=53366
xian 	限	c=1 d=1 t=38097
xian 	險	c=4 d=0.357248 t=53366
xian 	鮮	c=4 d=1 t=34975
xian ai 	腺癌	c=1 d=8.4931e-50 t=53366
xian cao 	仙草	c=1 d=1.73863e-07 t=53366
xian chang 	現場	c=10 d=3.35255e-17 t=53366
xian cheng 	現成	c=1 d=1 t=37330
xian cheng 	縣城	c=1 d=1 t=37329
xian cun 	現存	c=1 d=0.000277414 t=53366
xian dai 	現代	c=13 d=0.54885 t=53366
xian dai hua 	現代化	c=2 d=2.13189e-16 t=53366
xian dai zhi zao 	現代製造	c=2 d=0.0526289 t=53366
xian dao 	先導	c=1 d=1 t=18157
xian de 	顯得	c=1 d=1.29424e-05 t=53366
xian ding 	限定	c=2 d=1 t=17107
xian e 	限額	c=2 d=1.97531 t=37964
xian fa 	憲法	c=1 d=0.000209665 t=53366
xian feng 	先鋒	c=2 d=2.08335e-39 t=53366
xian hou 	先後	c=16 d=1.00051 t=28750
xian hua 	鮮花	c=1 d=1 t=30865
xian huo 	現貨	c=2 d=1.89583 t=21449
xian jia 	現價	c=1 d=1 t=21425
xian jian 	先見	c=1 d=0.0668703 t=53366
xian jie 	銜接	c=1 d=1 t=53366
xian jin 	先進	c=5 d=0.321573 t=53366
xian jin 	現金	c=1 d=1 t=49596
xian jin xian chu 	先進先出	c=1 d=5.56804e-24 t=53366
xian jing 	仙境	c=1 d=0.319819 t=53366
xian ka 	顯卡	c=1 d=6.80892e-38 t=53366
xian lai 	閒來	c=1 d=1.17695e-05 t=53366
xian liao 	閒聊	c=1 d=1.36524e-45 t=53366
xian lu 	線路	c=1 d=7.10393e-37 t=53366
xian mei 	鮮美	c=1 d=9.4369e-25 t=53366
xian mu 	羨慕	c=1 d=1.034e-11 t=53366
xian nv 	仙女	c=1 d=6.20471e-33 t=53366
xian qian 	先前	c=3 d=0.000666566 t=53366
xian qu 	先去	c=1 d=0.00509243 t=53366
xian quan 	線圈	c=0 d=2.33433e-33 t=53366
xian ran 	顯然	c=1 d=0.0195457 t=53366
xian shang 	線上	c=1 d=8.96139e-05 t=53366
xian shen shuo fa 	現身說法	c=1 d=1 t=42300
xian sheng 	先生	c=5 d=0.00266464 t=53366
xian shi 	現實	c=12 d=2.27437e-20 t=53366
xian shi 	顯示	c=34 d=1.91683 t=53366
xian shi ping 	顯示屏	c=1 d=0.135335 t=53366
xian shi qi 	顯示器	c=2 d=3.66606e-19 t=53366
xian shi zhong 	顯示鐘	c=1 d=1 t=33937
xian shou xian fu 	現收現付	c=1 d=1 t=50346
xian suo 	線索	c=1 d=1 t=22834
xian xia 	線下	c=1 d=1 t=37157
xian xia 	閒暇	c=1 d=1 t=11905
xian xiang 	現象	c=3 d=0.00754164 t=53366
xian xing 	現行	c=1 d=1 t=49784
xian xing 	線性	c=2 d=1.77939e-05 t=53366
xian xue 	獻血	c=1 d=0.000391706 t=53366
xian yan 	先驗	c=4 d=6.88632e-19 t=53366
xian yan zhi shi 	先驗只是	c=1 d=1 t=2113
xian yi ren 	嫌疑人	c=2 d=1.82592e-33 t=53366
xian you 	現有	c=9 d=0.532592 t=53366
xian you 	鮮有	c=1 d=0.00158844 t=53366
xian yu 	鹹魚	c=2 d=1.49e-15 t=53366
xian zai 	現在	c=75 d=1.67623 t=53366
xian zai en 	現在嗯	c=1 d=1 t=31287
xian zai shi 	現在時	c=1 d=6.83236e-49 t=53366
xian zai zhi you 	現在只有	c=1 d=4.0468e-05 t=53366
xian zhang 	縣長	c=1 d=1 t=5076
xian zhe 	賢者	c=1 d=0.561197 t=53366
xian zhe shi ke 	賢者時刻	c=1 d=0.145148 t=53366
xian zhi 	先知	c=1 d=0.0992613 t=53366
xian zhi 	閒置	c=2 d=0.234524 t=53366
xian zhi 	限制	c=9 d=0.0122161 t=53366
xian zhu 	顯著	c=2 d=0.0131501 t=53366
xian zhu xing 	顯著性	c=1 d=0.932394 t=53366
xian zhuang 	現狀	c=12 d=0.514274 t=53366
xiang 	像	c=15 d=0.367214 t=53366
xiang 	向	c=22 d=1.59339 t=53366
xiang 	想	c=54 d=1.67321 t=53366
xiang 	相	c=4 d=0.0528161 t=53366
xiang 	祥	c=2 d=0.0403566 t=53366
xiang 	箱	c=1 d=0.00516939 t=53366
xiang 	翔	c=2 d=0.798516 t=53366
xiang 	象	c=1 d=1.29112e-06 t=53366
xiang 	鑲	c=1 d=0.0162445 t=53366
xiang 	響	c=1 d=1.66643e-08 t=53366
xiang 	項	c=4 d=0.489192 t=53366
xiang 	香	c=6 d=1.46303e-06 t=53366
xiang ban fa 	想辦法	c=1 d=3.23198e-07 t=53366
xiang bi 	想必	c=1 d=5.65796e-36 t=53366
