# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
wen gao 	文稿	c=1 d=3.5997e-10 t=23300
wen ge hua 	溫哥華	c=2 d=0.0104182 t=23300
wen guan 	文官	c=1 d=8.05666e-47 t=23402
wen he 	吻合	c=1 d=0.000283018 t=23402
wen he 	溫和	c=1 d=0.000281606 t=23402
wen hou 	問候	c=1 d=0.000455097 t=23300
wen hua 	文化	c=3 d=0.00808895 t=23402
wen jian 	文件	c=28 d=3.80278 t=23402
wen jian jia 	文件夾	c=6 d=0.752014 t=23402
wen juan 	問卷	c=1 d=0.000133688 t=23402
wen lan 	文瀾	c=2 d=0.0301194 t=23402
wen lan zai xian 	文瀾在線	c=1 d=0.302704 t=23402
wen ming shi 	文明史	c=1 d=0.000476044 t=23402
wen ni 	問你	c=2 d=0.507108 t=23402
wen rou 	溫柔	c=1 d=0.0086517 t=23402
wen shun 	溫順	c=1 d=1.73196e-50 t=23402
wen ti 	問題	c=84 d=4.80644 t=23402
wen wen 	問問	c=6 d=0.647265 t=23402
wen xian 	文獻	c=28 d=1.7702 t=23402
wen xian chuan di 	文獻傳遞	c=1 d=0.304221 t=23402
wen xue 	文學	c=1 d=2.29918e-30 t=23402
wen yi 	文藝	c=1 d=4.87167e-11 t=23402
wen yi wen 	問一問	c=2 d=4.07401e-47 t=23402
wen yi xia 	問一下	c=2 d=5.84469e-20 t=23402
wen zhang 	文章	c=16 d=1.29121 t=23402
wen zhong 	文中	c=1 d=1.43036e-05 t=23402
wen zhou 	溫州	c=4 d=2.46681e-05 t=23402
wen zi 	文字	c=2 d=0.00120654 t=23402
wo 	我	c=322 d=5.42281 t=23402
wo 	涴	c=1 d=1 t=23402
wo 	窩	c=1 d=5.65796e-36 t=23402
wo ai 	我愛	c=1 d=7.14097e-10 t=23402
wo ba 	我把	c=1 d=5.79015e-43 t=23402
wo bu shi 	我不是	c=2 d=2.4192e-11 t=23402
wo da gai 	我大概	c=1 d=0.404542 t=23402
wo de 	我的	c=10 d=0.694197 t=23402
wo dui 	我對	c=1 d=0.151829 t=23300
wo fang fu 	我彷彿	c=1 d=4.17061e-36 t=23402
wo gang gang 	我剛剛	c=1 d=1.85988e-06 t=23402
wo ge 	我哥	c=1 d=3.09661e-33 t=23402
wo guo 	我國	c=5 d=0.0999305 t=23402
wo hai 	我還	c=1 d=2.01061e-11 t=23300
wo ji de 	我記得	c=1 d=0.522046 t=23402
wo jia 	我家	c=1 d=7.11868e-32 t=23402
wo jin tian 	我今天	c=1 d=2.55372e-30 t=23402
wo jiu 	我就	c=1 d=2.32394e-09 t=23300
wo ju 	萵苣	c=1 d=1 t=23402
wo jue de 	我覺得	c=1 d=6.72513e-10 t=23300
wo kan lai 	我看來	c=1 d=9.86758e-50 t=23402
wo kan zhong 	我看中	c=1 d=0.0267827 t=23402
wo ke neng 	我可能	c=1 d=1 t=20187
wo ke yi 	我可以	c=1 d=1.47157e-45 t=23402
wo ma 	我媽	c=1 d=0.0518189 t=23402
wo men 	我們	c=77 d=6.36125 t=23402
wo ne 	我呢	c=1 d=0.000174253 t=23300
wo neng 	我能	c=1 d=1.25599e-05 t=23402
wo qu 	我去	c=1 d=0.00256704 t=23402
wo ren wei 	我認爲	c=1 d=6.48147e-17 t=23402
wo shi 	我是	c=7 d=0.818731 t=23402
wo shi 	臥室	c=1 d=0.216536 t=23300
wo shuo 	我說	c=1 d=0.00101529 t=23402
wo suan le suan 	我算了算	c=1 d=3.34653e-05 t=23300
wo suo neng 	我所能	c=1 d=0.0395575 t=23300
wo xi huan 	我喜歡	c=1 d=0.18452 t=23402
wo xiang 	我向	c=0 d=2.78985e-42 t=23402
wo xiang 	我想	c=5 d=0.746737 t=23402
wo xiang ni 	我向你	c=1 d=2.80384e-41 t=23402
wo xiang shuo 	我想說	c=1 d=1 t=23402
wo xiang xin 	我相信	c=1 d=1.41613e-05 t=23300
wo xiang zhi dao 	我想知道	c=1 d=1 t=23402
wo xie zuo 	我寫作	c=1 d=6.49381e-10 t=23300
wo yao 	我要	c=3 d=0.50409 t=23402
wo ye 	我也	c=1 d=0.000435072 t=23402
wo ye shi 	我也是	c=1 d=1.29486e-40 t=23402
wo yi jing 	我已經	c=4 d=1.00062 t=23402
wo yi yang 	我一樣	c=1 d=2.11837e-37 t=23402
wo you 	我有	c=1 d=3.19319e-12 t=23402
wo zhe bian 	我這邊	c=1 d=2.91687e-06 t=23402
wo zhe li 	我這裏	c=1 d=0.00878245 t=23402
wo zhi 	我只	c=0 d=2.44351e-12 t=23402
wo zhi dao 	我知道	c=2 d=1 t=23402
wo zhi neng 	我只能	c=1 d=4.05231e-21 t=23402
wo zhi shi yao 	我只是要	c=1 d=2.45576e-11 t=23402
wu 	五	c=1 d=1 t=23402
wu 	務	c=1 d=3.91426e-25 t=23402
wu 	午	c=0 d=1.22962e-21 t=23402
wu 	吳	c=1 d=7.94643e-32 t=23402
wu 	吾	c=2 d=2.10458e-19 t=23402
wu 	武	c=3 d=1.81873 t=23402
wu 	污	c=2 d=1.60189e-06 t=23402
wu 	烏	c=1 d=1 t=23402
wu 	無	c=13 d=1.15935 t=23402
wu 	物	c=3 d=0.0765355 t=23402
wu 	誤	c=1 d=7.16557e-21 t=23402
wu 	霧	c=1 d=7.91488e-44 t=23402
wu an 	武安	c=0 d=0.00153752 t=23402
wu an guo 	武安國	c=2 d=0.0343257 t=23402
wu can 	午餐	c=6 d=8.15896e-19 t=23402
wu cha yi 	無差異	c=1 d=2.16117e-37 t=23402
wu chao suo zhi 	物超所值	c=1 d=0.171187 t=23402
wu chu 	無處	c=1 d=0.000109455 t=23300
wu di 	無敵	c=1 d=1.6124e-32 t=23402
wu ding 	屋頂	c=1 d=3.70858e-37 t=23402
wu dong yu zhong 	無動於衷	c=1 d=1.15423e-11 t=23300
wu fa 	無法	c=20 d=1.80025 t=23402
wu fa shou qu 	無法收取	c=1 d=0.904837 t=23402
wu fan 	午飯	c=2 d=2.28369e-06 t=23402
wu fang 	無妨	c=1 d=0.04573 t=23300
wu feng 	無縫	c=1 d=3.50832e-31 t=23402
wu ge 	五個	c=1 d=1.71922e-22 t=23402
wu gen ju 	無根據	c=1 d=0.0284388 t=23402
wu guan 	無關	c=1 d=1.14353e-19 t=23402
wu gui 	烏龜	c=1 d=1.43304e-27 t=23402
wu guo 	誤國	c=1 d=1 t=23402
wu han 	武漢	c=1 d=0.151072 t=23402
wu hou 	午後	c=1 d=1.47462e-40 t=23402
wu hui 	舞會	c=2 d=4.30616e-07 t=23402
wu jiao 	五角	c=2 d=0.149338 t=23402
wu jiao chang 	五角場	c=2 d=0.131756 t=23402
wu jiao xing 	五角星	c=2 d=0.00177001 t=23300
wu kang 	武康	c=3 d=2.70004 t=23402
wu ke 	吳克	c=2 d=0.805059 t=23402
wu ke 	無可	c=1 d=0.546074 t=23300
wu ke feng gao 	無可奉告	c=1 d=1.50882e-45 t=23402
wu ke li li 	烏克麗麗	c=3 d=0.194357 t=23402
wu kong 	悟空	c=1 d=1 t=18952
wu kong 	無孔	c=1 d=8.87798e-42 t=23402
wu li 	無力	c=1 d=4.80895e-35 t=23402
wu li 	無理	c=1 d=0.186861 t=23402
wu li 	物理	c=7 d=0.214777 t=23402
wu li tou 	無厘頭	c=1 d=1 t=18991
wu li you 	無理由	c=1 d=0.000483239 t=23300
wu li zhi ren 	無理之人	c=1 d=0.174645 t=23402
wu li zhi ren 	物理之人	c=1 d=0.168638 t=23402
wu lian wang 	物聯網	c=3 d=0.195003 t=23402
wu liao 	無聊	c=1 d=2.7051e-31 t=23402
wu liao 	物料	c=1 d=1 t=23402
wu lin 	武林	c=1 d=1 t=23402
wu liu 	物流	c=14 d=0.506617 t=23402
wu long 	烏龍	c=1 d=6.59196e-10 t=23300
wu lun 	無論	c=4 d=0.0284645 t=23402
wu ming 	無名	c=1 d=0.20089 t=23300
wu nian 	五年	c=1 d=0.209088 t=23402
wu qi 	武器	c=1 d=2.47867e-32 t=23402
wu qian 	五千	c=0 d=4.68957e-05 t=23402
wu qian 	無鉛	c=2 d=1.89583 t=22448
wu qian nian 	五千年	c=1 d=0.000471307 t=23402
wu qing 	無情	c=1 d=1 t=20281
wu qing yuan 	吳清源	c=1 d=6.36848e-16 t=23402
wu qiong 	無窮	c=0 d=0.1 t=22696
wu qiong duo ci 	無窮多次	c=1 d=1 t=22697
wu ran 	污染	c=2 d=0.00821546 t=23402
wu ren 	無人	c=1 d=0.000345679 t=23402
wu ru 	誤入	c=1 d=4.93169e-08 t=23402
wu se qi 	五色旗	c=1 d=0.000665481 t=23402
wu shan 	吳山	c=1 d=0.000713734 t=23402
wu shan 	誤刪	c=1 d=1.99847e-28 t=23402
wu suo 	無所	c=1 d=1.98512e-08 t=23300
wu suo shi cong 	無所適從	c=1 d=1.99507e-08 t=23300
wu tai shan 	五臺山	c=1 d=5.48981e-34 t=23402
wu xian 	無限	c=5 d=0.658337 t=23402
wu xian dian 	無線電	c=1 d=1.81328e-31 t=23402
wu xian zhi bo 	無限直撥	c=2 d=0.620928 t=23402
wu xian zhi bo 	無限直播	c=1 d=0.283654 t=23402
wu xiao 	無效	c=1 d=1.14844e-40 t=23402
wu xie ke ji 	無懈可擊	c=1 d=1.0823e-48 t=23402
wu xin 	無心	c=1 d=4.99313e-36 t=23402
wu xing 	五星	c=1 d=8.23255e-07 t=23402
wu xing ji 	五星級	c=1 d=3.97274e-23 t=23402
wu xu 	無需	c=0 d=1.59695e-08 t=23300
wu xu dan xin 	無需擔心	c=1 d=1.60496e-07 t=23300
wu ya zi 	無崖子	c=1 d=0.188247 t=23300
wu ye 	午夜	c=1 d=5.86648e-50 t=23402
wu yong 	無用	c=3 d=2.89229 t=23402
wu you suo zhi 	物有所值	c=1 d=3.11319e-37 t=23402
wu yuan 	無緣	c=2 d=8.4441e-33 t=23402
wu yue 	五月	c=1 d=1.11067e-29 t=23402
wu yue tian 	五月天	c=5 d=3.04032e-32 t=23402
wu yun 	烏雲	c=1 d=9.16423e-33 t=23402
wu zhi jing 	無止境	c=1 d=6.42681e-35 t=23402
wu zhuang 	武裝	c=1 d=4.26515e-35 t=23402
xi 	媳	c=1 d=0.0372538 t=23402
xi 	息	c=1 d=0.000378233 t=23300
xi 	戲	c=1 d=1.13311e-29 t=23402
xi 	洗	c=1 d=1 t=23402
xi 	細	c=2 d=7.34821e-23 t=23402
xi 	習	c=3 d=0.50274 t=23402
xi 	西	c=5 d=0.129953 t=23402
xi 	錫	c=2 d=1.8781 t=22449
xi an 	西安	c=2 d=1.65891e-06 t=23300
xi ban ya 	西班牙	c=1 d=1.20404e-08 t=23402
xi bu 	西部	c=21 d=2.28577e-06 t=23402
xi bu shi jie 	西部世界	c=7 d=2.23304e-11 t=23402
xi fa lu 	洗髮露	c=1 d=3.44834e-34 t=23402
xi fa shui 	洗髮水	c=1 d=3.46563e-34 t=23402
xi fang 	西方	c=1 d=1.89287e-07 t=23300
xi fen 	細分	c=2 d=1.17728 t=22678
xi gai 	膝蓋	c=5 d=0.319923 t=23402
xi gu 	硒鼓	c=16 d=0.538171 t=23402
xi guan 	習慣	c=2 d=2.39513e-11 t=23402
xi guan hao 	習慣好	c=1 d=3.5582e-50 t=23402
xi guo 	洗過	c=1 d=0.207008 t=23402
xi hao 	喜好	c=1 d=3.26658e-44 t=23402
xi hu 	西湖	c=2 d=0.117655 t=23402
xi hu qu 	西湖區	c=3 d=0.00217658 t=23402
xi hu wen hua 	西湖文化	c=1 d=1.0388e-36 t=23402
xi hua 	細化	c=2 d=0.00235786 t=23402
xi huan 	喜歡	c=12 d=0.109211 t=23402
xi jie 	細節	c=2 d=0.0139819 t=23402
xi jin ping 	習近平	c=1 d=0.164474 t=23402
xi jin qu 	吸進去	c=1 d=0.000164928 t=23402
xi la 	希臘	c=1 d=1 t=19542
xi lie 	系列	c=2 d=6.77866e-37 t=23402
xi men zi 	西門子	c=1 d=1 t=22816
xi mian 	洗面	c=1 d=0.00337959 t=23402
xi mian nai 	洗面奶	c=3 d=0.136014 t=23402
xi nan 	西南	c=1 d=0.000471307 t=23402
xi ni 	悉尼	c=1 d=2.89473e-34 t=23402
xi qian 	洗錢	c=1 d=0.416862 t=23300
xi que 	稀缺	c=3 d=0.0154243 t=23402
xi que du 	稀缺度	c=1 d=1 t=19015
xi shou 	洗手	c=2 d=0.462162 t=23402
xi shou jian 	洗手間	c=1 d=2.34116e-37 t=23402
xi shu 	係數	c=1 d=0.00755912 t=23402
xi shu 	稀疏	c=1 d=0.00937227 t=23402
xi shui 	戲水	c=1 d=3.4059e-06 t=23300
xi song 	稀鬆	c=1 d=0.343009 t=23402
xi tang 	西塘	c=2 d=1.51327e-05 t=23402
xi tong 	系統	c=131 d=4.68921 t=23402
xi tong neng 	系統能	c=1 d=1 t=21238
xi wan 	洗完	c=1 d=1 t=19223
xi wang 	希望	c=8 d=0.466572 t=23402
xi wei 	細微	c=1 d=2.95331e-05 t=23402
xi wen le jian 	喜聞樂見	c=3 d=8.15954e-23 t=23402
xi xi 	西溪	c=1 d=0.255381 t=23300
xi xi 	西西	c=1 d=2.22093e-05 t=23402
xi xia 	西夏	c=1 d=1.51458e-31 t=23402
xi you 	西遊	c=1 d=2.96862e-07 t=23402
xi yu zhong xin 	洗浴中心	c=1 d=0.212248 t=23402
xi yue 	喜悅	c=1 d=1.31059e-35 t=23402
xi zang 	西藏	c=1 d=0.000617396 t=23402
xi zao 	洗澡	c=3 d=0.000145287 t=23300
xia 	下	c=51 d=1.38449 t=23402
xia 	夏	c=3 d=0.0992613 t=23402
xia 	瞎	c=1 d=6.0109e-42 t=23402
xia biao 	下標	c=1 d=0.0352602 t=23402
xia bu yan yu 	瑕不掩瑜	c=1 d=1.04817e-24 t=23402
xia ceng 	下層	c=2 d=0.0593087 t=23402
xia ci 	下次	c=1 d=0.0228227 t=23402
xia da 	下達	c=1 d=2.18705e-30 t=23402
xia ding 	下定	c=1 d=6.99698e-35 t=23402
xia fang 	下方	c=1 d=9.46807e-05 t=23402
xia gang 	下崗	c=1 d=4.52904e-06 t=23402
xia ge yue 	下個月	c=3 d=0.442594 t=23402
xia hui 	下回	c=2 d=0.0133665 t=23402
xia ji 	夏季	c=1 d=2.58202e-42 t=23402
xia ke 	下課	c=1 d=3.43125e-05 t=23300
xia lai 	下來	c=3 d=0.0384801 t=23402
xia le 	下了	c=0 d=0.00135009 t=23300
xia le dian 	下了點	c=1 d=0.0135686 t=23300
xia men 	廈門	c=1 d=0.000581442 t=23402
xia mian 	下面	c=5 d=0.215456 t=23402
xia mu 	夏目	c=2 d=1 t=23263
xia qu 	下去	c=1 d=9.12037e-06 t=23402
xia ren 	嚇人	c=1 d=9.60758e-30 t=23402
xia ri 	夏日	c=1 d=1.1374e-44 t=23402
xia ta 	下榻	c=1 d=0.771052 t=23402
xia tian 	夏天	c=3 d=4.3958e-37 t=23402
xia wu 	下午	c=16 d=0.0217647 t=23402
xia xing 	下行	c=1 d=1.2849e-08 t=23402
xia xun 	下旬	c=1 d=1.29446e-07 t=23300
xia yi 	下一	c=1 d=4.11495e-25 t=23402
xia yi bu 	下一步	c=1 d=9.61117e-05 t=23402
xia yi ge 	下一個	c=1 d=1.22836e-08 t=23402
xia yi hang 	下一行	c=1 d=0.142274 t=23402
xia yi qi 	下一期	c=1 d=8.52987e-42 t=23402
xia yu 	下雨	c=1 d=0.0155297 t=23300
xia zai 	下載	c=17 d=1.5027 t=23402
xia zai liang 	下載量	c=1 d=1.55805e-11 t=23300
xia zhai 	狹窄	c=1 d=0.024972 t=23300
xia zhuan 	瞎轉	c=1 d=2.74505e-27 t=23402
xian 	仙	c=1 d=1.12027e-42 t=23402
xian 	先	c=19 d=0.755784 t=23402
xian 	弦	c=4 d=0.0374514 t=23402
xian 	現	c=3 d=3.47126e-09 t=23402
xian 	線	c=10 d=0.926638 t=23402
xian 	縣	c=1 d=0.301194 t=23300
xian 	閒	c=1 d=1.04439e-11 t=23402
xian 	險	c=4 d=0.357248 t=23402
xian ai 	腺癌	c=1 d=8.4931e-50 t=23402
xian cao 	仙草	c=1 d=1.73863e-07 t=23402
xian chang 	現場	c=2 d=0.0614212 t=23402
xian cun 	現存	c=1 d=0.000277414 t=23402
xian dai 	現代	c=13 d=0.54885 t=23402
xian dai hua 	現代化	c=2 d=2.13189e-16 t=23402
xian dai zhi zao 	現代製造	c=2 d=0.0526289 t=23402
xian de 	顯得	c=1 d=1.29424e-05 t=23402
xian ding 	限定	c=1 d=1 t=23183
xian fa 	憲法	c=1 d=0.000209665 t=23300
xian feng 	先鋒	c=2 d=2.08335e-39 t=23402
xian jian 	先見	c=1 d=0.0668703 t=23300
xian jie 	銜接	c=1 d=1 t=23402
xian jin 	先進	c=5 d=0.321573 t=23402
xian jin xian chu 	先進先出	c=1 d=5.56804e-24 t=23402
xian jing 	仙境	c=1 d=0.319819 t=23402
xian ka 	顯卡	c=1 d=6.80892e-38 t=23402
xian kan 	先看	c=1 d=1 t=19414
xian lai 	閒來	c=1 d=1.17695e-05 t=23300
xian liao 	閒聊	c=1 d=1.36524e-45 t=23402
xian lu 	線路	c=1 d=7.10393e-37 t=23402
xian mei 	鮮美	c=1 d=9.4369e-25 t=23402
xian mu 	羨慕	c=1 d=1.034e-11 t=23300
xian nv 	仙女	c=1 d=6.20471e-33 t=23402
xian qian 	先前	c=3 d=0.000666566 t=23402
xian qu 	先去	c=1 d=1.16965e-20 t=23402
xian quan 	線圈	c=0 d=2.33433e-33 t=23402
xian ran 	顯然	c=1 d=0.0195457 t=23402
xian shang 	線上	c=1 d=8.96139e-05 t=23300
xian sheng 	先生	c=5 d=0.00266464 t=23402
xian shi 	現實	c=9 d=0.607031 t=23402
xian shi 	顯示	c=34 d=1.91683 t=23402
xian shi ping 	顯示屏	c=1 d=0.135335 t=23402
xian shi qi 	顯示器	c=1 d=9.65739e-32 t=23402
xian xiang 	現象	c=3 d=0.00754164 t=23402
xian xing 	線形	c=3 d=1.01496 t=22625
xian xing 	線性	c=2 d=1.77939e-05 t=23300
xian xue 	獻血	c=1 d=0.000391706 t=23402
xian yan 	先驗	c=4 d=6.88632e-19 t=23402
xian yi ren 	嫌疑人	c=2 d=1.82592e-33 t=23402
xian you 	現有	c=2 d=0.532592 t=23402
xian you 	鮮有	c=1 d=0.00158844 t=23300
xian yu 	鹹魚	c=1 d=1.84614e-07 t=23402
xian zai 	現在	c=32 d=1.67623 t=23402
xian zai shi 	現在時	c=1 d=6.83236e-49 t=23402
xian zai zhi you 	現在只有	c=1 d=4.0468e-05 t=23300
xian zhe 	賢者	c=1 d=0.561197 t=23402
xian zhe shi ke 	賢者時刻	c=1 d=0.145148 t=23402
xian zhi 	先知	c=1 d=0.0992613 t=23300
xian zhi 	閒置	c=2 d=0.234524 t=23402
xian zhi 	限制	c=4 d=0.0122161 t=23402
xian zhu 	顯著	c=2 d=0.0131501 t=23402
xian zhu xing 	顯著性	c=1 d=0.932394 t=23402
xian zhuang 	現狀	c=3 d=0.514274 t=23402
xiang 	像	c=15 d=0.367214 t=23402
xiang 	向	c=5 d=1.59339 t=23402
xiang 	想	c=26 d=1.67321 t=23402
xiang 	相	c=3 d=0.0528161 t=23402
xiang 	祥	c=2 d=0.0403566 t=23402
xiang 	箱	c=1 d=0.00516939 t=23402
xiang 	翔	c=2 d=0.798516 t=23402
xiang 	象	c=1 d=1.29112e-06 t=23402
xiang 	鑲	c=1 d=0.0162445 t=23402
xiang 	響	c=1 d=1.66643e-08 t=23402
xiang 	項	c=4 d=0.489192 t=23402
xiang 	香	c=2 d=1.46303e-06 t=23402
xiang ban fa 	想辦法	c=1 d=3.23198e-07 t=23402
xiang bi 	想必	c=1 d=5.65796e-36 t=23402
xiang bi 	相比	c=4 d=0.652767 t=23402
xiang bi jiao 	相比較	c=1 d=0.000426457 t=23300
xiang bu 	相簿	c=3 d=1.1695e-30 t=23402
xiang cha 	相差	c=1 d=0.000788798 t=23300
xiang dang 	相當	c=7 d=0.08291 t=23402
xiang dang yu 	相當於	c=1 d=1.45722e-18 t=23402
xiang dao 	嚮導	c=2 d=0.128735 t=23402
xiang dao 	想到	c=4 d=0.0397558 t=23402
xiang dao de 	想到的	c=1 d=4.93672e-20 t=23402
xiang de kai 	想得開	c=1 d=0.0106202 t=23300
xiang deng 	相等	c=1 d=0.000452827 t=23402
xiang dui 	相對	c=2 d=0.100761 t=23402
xiang dui ying 	相對應	c=3 d=8.13985e-51 t=23402
xiang fa 	想法	c=7 d=0.889456 t=23402
xiang fan 	相反	c=1 d=3.7763e-44 t=23402
xiang gang 	香港	c=5 d=0.106992 t=23402
xiang gong 	相公	c=1 d=1.10078e-12 t=23402
xiang gu 	香菇	c=1 d=1.48252e-44 t=23402
xiang guan 	相關	c=70 d=2.66202 t=23402
xiang guan ling yu 	相關領域	c=1 d=0.168638 t=23300
xiang guan xing 	相關性	c=1 d=0.000717312 t=23402
xiang hao 	想好	c=1 d=0.0748708 t=23402
xiang hao le 	想好了	c=1 d=0.748264 t=23300
xiang hu 	相互	c=5 d=0.0123389 t=23402
xiang hui 	香灰	c=1 d=0.337902 t=23300
xiang ji 	相機	c=1 d=3.50415e-17 t=23402
xiang jia 	相加	c=2 d=9.42727e-13 t=23402
xiang jian 	相間	c=1 d=1.57639e-31 t=23402
xiang jian 	詳見	c=1 d=0.0405589 t=23402
xiang jiao 	橡膠	c=2 d=6.54326e-11 t=23402
xiang jin 	相近	c=1 d=1 t=19336
xiang lian 	項鍊	c=3 d=1.37479e-31 t=23402
xiang liang 	向量	c=2 d=0.170333 t=23402
xiang lin 	相鄰	c=1 d=5.47284e-27 t=23402
xiang mu 	項目	c=74 d=3.76042 t=23402
xiang mu ren wu 	項目任務	c=1 d=0.010358 t=23402
xiang qi 	想起	c=3 d=2.24982e-10 t=23402
xiang qing 	詳情	c=1 d=0.00759701 t=23402
xiang qing chu 	想清楚	c=1 d=0.0761538 t=23300
xiang qu 	想去	c=1 d=1 t=18965
xiang qun 	象羣	c=1 d=3.36331e-05 t=23402
xiang ri kui 	向日葵	c=1 d=0.00336274 t=23300
xiang sheng 	相聲	c=6 d=3.62054 t=23402
xiang shi 	像是	c=2 d=2.85396e-06 t=23402
xiang shi 	翔實	c=1 d=5.03302e-12 t=23402
xiang shou 	享受	c=4 d=0.157746 t=23402
xiang shu 	詳述	c=1 d=0.628135 t=23402
xiang shui 	香水	c=1 d=6.31263e-30 t=23402
xiang si 	相似	c=2 d=0.118245 t=23402
xiang su 	像素	c=1 d=1.08966 t=23402
xiang su ren 	像素人	c=2 d=1.91683 t=23402
xiang tong 	相同	c=7 d=1.74348 t=23402
xiang wang 	嚮往	c=1 d=0.0288686 t=23300
xiang wen 	想問	c=1 d=1.25642e-09 t=23402
xiang xi 	詳細	c=1 d=1 t=23402
xiang xian 	象限	c=1 d=0.000121572 t=23300
xiang xiang 	想像	c=1 d=0.000142667 t=23300
xiang xiang 	想想	c=2 d=1.72966e-05 t=23402
xiang xiang li 	想象力	c=1 d=1.92645e-08 t=23402
xiang yang 	向陽	c=1 d=8.15063e-07 t=23402
xiang yao 	想要	c=7 d=1.07065 t=23402
xiang ying 	相應	c=13 d=1 t=23402
xiang ying 	響應	c=4 d=0.818731 t=23402
xiang ying gong neng 	相應功能	c=1 d=3.31436e-09 t=23402
xiang yu 	相遇	c=1 d=5.58928e-10 t=23300
xiang zhe 	想着	c=1 d=5.33799e-21 t=23402
xiang zhe xiang zhe 	想着想着	c=1 d=2.68237e-20 t=23402
xiang zhi dao 	想知道	c=1 d=0.494109 t=23402
xiao 	小	c=32 d=0.611768 t=23402
xiao 	曉	c=1 d=1.95085e-09 t=23402
xiao 	校	c=1 d=7.4107e-05 t=23402
xiao 	笑	c=10 d=1.65509 t=23402
xiao 	肖	c=4 d=1.96377e-09 t=23402
xiao bai 	小白	c=1 d=0.0800583 t=23402
xiao bai lou 	小白樓	c=2 d=0.00708341 t=23402
xiao chai 	小差	c=2 d=5.44207e-09 t=23300
xiao chao 	小抄	c=1 d=0.00343067 t=23402
xiao che 	校車	c=4 d=0.0166569 t=23402
xiao chou 	小丑	c=2 d=1.99005 t=23402
xiao dang jia 	小當家	c=4 d=1.06274 t=23402
xiao dao 	小島	c=1 d=7.59806e-34 t=23402
xiao di 	小弟	c=0 d=0.0628135 t=23402
xiao di tu 	小弟圖	c=1 d=0.631284 t=23402
xiao dian 	笑點	c=1 d=2.13937e-06 t=23402
xiao dong zuo 	小動作	c=2 d=0.724842 t=23402
xiao dou dou 	校豆豆	c=1 d=1.65806e-37 t=23402
xiao du 	效度	c=2 d=0.000331614 t=23402
xiao en 	肖恩	c=4 d=3.37771e-35 t=23402
xiao fei 	消費	c=3 d=1 t=23402
xiao fei zhe 	消費者	c=1 d=2.56339e-45 t=23402
xiao fu 	校服	c=1 d=3.43242e-09 t=23300
xiao guo 	效果	c=6 d=0.721226 t=23402
xiao hai 	小孩	c=1 d=2.64019e-10 t=23300
xiao hao 	消耗	c=3 d=0.000130701 t=23402
xiao hao pin 	消耗品	c=1 d=2.18029e-23 t=23402
xiao he 	小鶴	c=2 d=0.0229371 t=23402
xiao hu dui 	小虎隊	c=0 d=6.24005e-42 t=23402
xiao hua 	消化	c=2 d=3.54514e-05 t=23300
xiao hua bu liang 	消化不良	c=1 d=2.11261e-05 t=23300
xiao huo ban 	小夥伴	c=1 d=2.25449e-05 t=23402
xiao ji 	小計	c=1 d=1.13759e-46 t=23402
xiao jie 	小姐	c=0 d=1.23406e-34 t=23402
xiao jie 	小節	c=1 d=1.21527e-29 t=23402
xiao jie 	小結	c=5 d=0.0902655 t=23402
xiao jie mei 	小姐妹	c=1 d=0.000227127 t=23402
xiao jing ling 	小精靈	c=4 d=3.70269e-33 t=23402
xiao lang hao 	小狼毫	c=1 d=0.562705 t=23402
xiao lv 	效率	c=3 d=0.024972 t=23402
xiao mai bu 	小賣部	c=1 d=4.41032e-17 t=23402
xiao mi 	小米	c=16 d=0.622337 t=23402
xiao mo 	消磨	c=1 d=0.10435 t=23300
xiao mu 	小木	c=0 d=0.0433874 t=23300
xiao mu chong 	小木蟲	c=1 d=0.436049 t=23300
xiao neng 	效能	c=3 d=1.25359e-06 t=23402
xiao niao 	小鳥	c=1 d=7.26396e-05 t=23402
xiao pang 	小胖	c=0 d=5.19514e-33 t=23402
xiao pang you 	小胖友	c=1 d=5.22118e-32 t=23402
xiao pen 	小盆	c=0 d=0.1 t=23402
xiao pen you 	小盆有	c=1 d=1 t=23402
xiao qi 	小憩	c=1 d=8.98612e-08 t=23402
xiao qiao 	小巧	c=1 d=1 t=23402
xiao qiu 	小球	c=0 d=9.78001e-05 t=23402
xiao qu 	小區	c=1 d=1 t=23402
xiao qu 	校區	c=9 d=0.203926 t=23402
xiao sa 	瀟灑	c=1 d=1.80111e-40 t=23402
xiao shan 	蕭山	c=1 d=7.62835e-22 t=23402
xiao shi 	小時	c=8 d=0.532592 t=23402
xiao shi 	消失	c=4 d=0.253791 t=23402
xiao shi hou 	小時候	c=4 d=8.31529e-07 t=23402
xiao shou 	銷售	c=3 d=1.65973e-06 t=23402
xiao shu 	小數	c=1 d=1 t=19038
xiao shui keng 	小水坑	c=1 d=0.000126534 t=23300
xiao shuo 	小說	c=3 d=0.704688 t=23402
xiao si 	小思	c=0 d=0.0156453 t=23402
xiao si 	笑死	c=1 d=0.000713734 t=23402
xiao tai yang 	小太陽	c=1 d=3.3918e-16 t=23402
xiao ti qin 	小提琴	c=2 d=3.92064e-07 t=23402
xiao tui 	消退	c=1 d=0.0982736 t=23402
xiao wen ti 	小問題	c=1 d=3.42112e-29 t=23402
